x1_original,x1_drifted,x1_amplitude_scaled,x1_lowfreq,x2_original,x2_drifted,x2_amplitude_scaled,x2_lowfreq,v1_original,v1_drifted,v1_amplitude_scaled,v1_lowfreq,v2_original,v2_drifted,v2_amplitude_scaled,v2_lowfreq,a1_original,a1_drifted,a1_amplitude_scaled,a1_lowfreq,a2_original,a2_drifted,a2_amplitude_scaled,a2_lowfreq
-0.0028915012,0.0043095713,-0.0043551424,-0.0025030382,0.0024394349,0.009670238,0.0036662687,0.00221227,0.022048928,0.029378833,0.033076815,-0.028329005,-0.015861113,-0.008555362,-0.023692656,0.016764602,0.08239118,0.08978244,0.123819955,0.07309984,-0.05346056,-0.046249848,-0.08003719,-0.04763268
-0.0025824315,0.0046073534,-0.0038936576,-0.0026844495,0.0022143018,0.009445377,0.0033284074,0.0023265502,0.02286953,0.03019868,0.03432877,-0.027811162,-0.01640938,-0.009108832,-0.024545908,0.016396401,0.073929355,0.08141673,0.11113901,0.07788605,-0.048112594,-0.040857654,-0.0719141,-0.050607406
-0.002319181,0.004867403,-0.0035014534,-0.0028306686,0.002022305,0.009254798,0.0030337228,0.0024176633,0.023634113,0.030938717,0.03547337,-0.027407495,-0.01690827,-0.0096057765,-0.025323674,0.016117606,0.066737354,0.07432535,0.10042994,0.081791796,-0.04348423,-0.036282048,-0.065026954,-0.05298052
-0.0020522575,0.005137953,-0.0030975684,-0.002986306,0.0018222339,0.009053559,0.0027319875,0.002514301,0.024537612,0.03180643,0.036816232,-0.02700515,-0.017508859,-0.010219658,-0.026244415,0.015834922,0.059381712,0.066941634,0.08942736,0.08591985,-0.038748033,-0.031605788,-0.05798658,-0.05549874
-0.0018105865,0.005377854,-0.0027341808,-0.0031426349,0.0016401078,0.008869672,0.0024618527,0.002610037,0.025084553,0.032314464,0.03763034,-0.026624024,-0.017876295,-0.0106088985,-0.026826581,0.015571173,0.052742384,0.060189273,0.07937441,0.09004636,-0.03450354,-0.027384821,-0.05162791,-0.058030475
-0.0015457966,0.0056408895,-0.0023291947,-0.0032946211,0.001439558,0.008663128,0.002159154,0.0027033414,0.025771128,0.03297971,0.038645584,-0.026129702,-0.018342819,-0.011100294,-0.02754701,0.015228007,0.045376685,0.052749902,0.06823103,0.09402611,-0.029861605,-0.022716884,-0.044566404,-0.060465414
-0.001330105,0.005854789,-0.0020039212,-0.003380261,0.0012807162,0.008500562,0.001922359,0.0027543134,0.025886558,0.033072002,0.038807496,-0.02565567,-0.018437944,-0.011193307,-0.027678197,0.014911756,0.039344806,0.04676286,0.059247784,0.09621572,-0.026112048,-0.018930458,-0.0388625,-0.06181624
-0.0010588696,0.006128099,-0.0016039425,-0.0035039224,0.001085853,0.008303833,0.0016256953,0.0028307005,0.026250334,0.033424735,0.039333563,-0.025110185,-0.018690875,-0.011428256,-0.028030831,0.014536201,0.03182946,0.039326634,0.04802416,0.09938683,-0.021335272,-0.014115258,-0.031856887,-0.06377049
-0.00084982073,0.0063447123,-0.0012926464,-0.0037090043,0.00093689864,0.008151147,0.0013950306,0.0029632712,0.026784647,0.033952296,0.040120784,-0.02492946,-0.01907682,-0.011815302,-0.028601428,0.014389102,0.026025724,0.033559047,0.03942442,0.10472021,-0.017552631,-0.01037906,-0.026467703,-0.067114204
-0.00062657235,0.0065739914,-0.00095507974,-0.0038172463,0.0007741245,0.007986257,0.0011432115,0.0030304445,0.02697209,0.03416235,0.040411342,-0.024503715,-0.019222878,-0.011958532,-0.028807912,0.0140916705,0.019858476,0.027404254,0.030248702,0.10749055,-0.013591743,-0.006432007,-0.020650595,-0.06884616
